"route","audience_intent","cta_copy","position","target","solution","funnel_stage","target_type","resolved_url","strength"
"/insights/accessibility-is-art-direction/","Declared page intent; confirm against editorial brief.","Still framing the question Use the critique prompts Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/accessibility-as-editorial/","Research or method path","early-stage","internal","https://hardmagic.com/methods/accessibility-as-editorial/","strong"
"/insights/accessibility-is-art-direction/","Declared page intent; confirm against editorial brief.","Use the critique prompts ↗","text-link","/methods/accessibility-as-editorial/","Research or method path","early-stage","internal","https://hardmagic.com/methods/accessibility-as-editorial/","strong"
"/insights/accessibility-is-art-direction/","Declared page intent; confirm against editorial brief.","Request an accessibility review","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/insights/brand-memory-in-generative-systems/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/brand-memory-in-generative-systems/","Declared page intent; confirm against editorial brief.","Ready to move Build brand memory Use the relevant intake or engagement route.","enterprise-cta-option","/services/brand-systems/","Specific service solution","early-stage","internal","https://hardmagic.com/services/brand-systems/","strong"
"/insights/brand-memory-in-generative-systems/","Declared page intent; confirm against editorial brief.","Still framing the question Use the brand-memory method Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/brand-memory/","Research or method path","early-stage","internal","https://hardmagic.com/methods/brand-memory/","strong"
"/insights/brand-memory-in-generative-systems/","Declared page intent; confirm against editorial brief.","Use the brand-memory method ↗","text-link","/methods/brand-memory/","Research or method path","early-stage","internal","https://hardmagic.com/methods/brand-memory/","strong"
"/insights/brand-memory-in-generative-systems/","Declared page intent; confirm against editorial brief.","Build brand memory","button dark-button","/services/brand-systems/","Specific service solution","primary","internal","https://hardmagic.com/services/brand-systems/","strong"
"/insights/creative-direction-after-model-abundance/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/creative-direction-after-model-abundance/","Declared page intent; confirm against editorial brief.","Read the creative-direction brief ↗","text-link","/briefs/creative-direction-after-the-prompt/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/creative-direction-after-the-prompt/","strong"
"/insights/creative-direction-after-model-abundance/","Declared page intent; confirm against editorial brief.","Ready to move Discuss creative direction Use the relevant intake or engagement route.","enterprise-cta-option","/contact/creative-direction/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/creative-direction/","strong"
"/insights/creative-direction-after-model-abundance/","Declared page intent; confirm against editorial brief.","Still framing the question Read the creative-direction brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/creative-direction-after-the-prompt/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/creative-direction-after-the-prompt/","strong"
"/insights/creative-direction-after-model-abundance/","Declared page intent; confirm against editorial brief.","Discuss creative direction","button ghost","/contact/creative-direction/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/creative-direction/","strong"
"/insights/from-prompting-to-production-systems/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/from-prompting-to-production-systems/","Declared page intent; confirm against editorial brief.","Read the provenance supply-chain brief ↗","text-link","/briefs/provenance-ready-content-supply-chain/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/provenance-ready-content-supply-chain/","strong"
"/insights/from-prompting-to-production-systems/","Declared page intent; confirm against editorial brief.","Ready to move Assess a workflow Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/insights/from-prompting-to-production-systems/","Declared page intent; confirm against editorial brief.","Still framing the question Read the provenance supply-chain brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/provenance-ready-content-supply-chain/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/provenance-ready-content-supply-chain/","strong"
"/insights/from-prompting-to-production-systems/","Declared page intent; confirm against editorial brief.","Assess a workflow","button ghost","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/insights/how-to-evaluate-a-genai-pilot/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
